respondent_id,role,question_id,response_code,answer_summary,confidence,source_date
R06,student,Q7,occasional,"Thỉnh thoảng mình giải thích cho bạn bè cùng lớp và tranh luận với nhau để kiểm tra mức hiểu.",high,2026-09-17
R06,student,Q8,search_and_verify,"Thường tra cứu lại tài liệu, kiểm tra nguồn và xác nhận thông tin trước khi tiếp tục.",medium,2026-09-17
R06,student,Q9,moderately_positive,"Cũng được, nhưng mình muốn biết workflow của dự án và AI có thể phát hiện điểm sai trong lời giải thích không.",medium,2026-09-17
R07,student,Q5,score_4,"Đánh giá 4/5; self-explanation có tác dụng tốt khi kết hợp với việc rút kinh nghiệm sau mỗi buổi học.",high,2026-09-17
R07,student,Q6,open,"Cảm thấy chưa đủ tập trung khi học nên sau đó rút kinh nghiệm để cải thiện cách học cho lần sau.",medium,2026-09-17
R07,student,Q7,selective,"Mình chỉ giải thích khi đã chắc mình hiểu; nếu chưa rõ thì sẽ hỏi giảng viên hoặc bạn bè.",medium,2026-09-17
R07,student,Q8,search_online,"Lên mạng hoặc dùng AI để tìm hiểu và xác nhận lại thông tin khi bế tắc.",high,2026-09-17
R07,student,Q9,positive,"Trợ lý AI đó có thể phát hiện chỗ sai và giúp mình nhận ra phần chưa để ý tới.",high,2026-09-17
R08,student,Q5,score_5,"Đánh giá 5/5; khi gặp câu hỏi biến thể thì chỉ cần giải thích lại mới thấy mình hiểu thật hay chỉ nhớ cách làm.",high,2026-09-17
R08,student,Q6,open,"Có lần học xong một bài, làm đúng câu hỏi nhưng khi gặp biến thể hoặc phải giải thích vì sao đáp án đúng thì lại lúng túng.",high,2026-09-17
R08,student,Q7,has_tried,"Có, mình từng tự giải thích lại mà không nhìn tài liệu. Khi nói thành lời, mình nhận ra phần nào còn hổng và không biết nối các khái niệm lại với nhau.",high,2026-09-17
R08,student,Q8,read_and_reexplain,"Đọc lại vài lần, xem ví dụ, rồi tự diễn giải theo ngôn ngữ của mình; nếu chưa hiểu thì hỏi AI hoặc tìm tài liệu bổ sung.",high,2026-09-17
R08,student,Q9,positive_but_concerned,"Mình nghĩ điều này rất hữu ích để phát hiện phần mình tưởng hiểu nhưng chưa thật sự hiểu, nhưng lo AI hỏi quá khó hoặc quá nhiều.",high,2026-09-17
